subscription_id,user_id,start_date,end_date,billing_period,price_usd,is_active
2737dc88-d1ea-454e-b258-ec3976b66710,87e41f6a-2200-4c2b-a038-f5df494fc2b3,2023-12-23,2024-01-22,mth,9999.99,True
2c984453-bf1f-4beb-8f3f-a5a7be08c691,fbbdc842-a3f5-4a63-a8bc-0f10099b1d8c,2023-12-22,2024-01-21,monthly,9.99,False
3dfe71da-b258-43b8-ad33-ca81cff4eaf0,f2bf9257-ec9c-4232-ade0-d0946a9ace51,2023-08-06,2033-08-03,yearly,29.99,False
12f93497-473a-4bc7-9f4c-50579a288183,7b1952a5-cb09-4df7-a97a-88bd1bb321d1,2023-06-01,2033-05-29,yr,14.99,False
211ba0b4-9488-476c-a6ad-2d2b55e41137,e9ef7c32-79d7-4a90-aab5-dde98738612d,2023-07-03,2023-06-23,yearly,9.99,False
7c4ed429-f90c-4475-b12e-d1e91d17139c,63945306-1945-4ec9-a654-41177c2844ad,2023-03-15,2023-04-14,annual,-5.0,True
d2ccd58a-3679-490c-8307-59de7b0a07eb,82053c65-c6de-4551-9fcb-3590795c3c77,2023-02-15,2023-02-15,monthly,9.99,False
9ab0ee2c-a3c8-4828-8271-041a76164ee0,62cdb8be-6fb2-465b-bf76-0c0df97de000,2023-06-14,2023-06-04,monthly,9999.99,False
40991bc5-76b7-48e2-8227-99b3086e4850,62cdb8be-6fb2-465b-bf76-0c0df97de000,2023-06-04,2024-06-03,annual,-5.0,True
9b035848-7208-4ff5-9101-e65c6b120aae,f7b7e11c-ccc0-4c49-8cad-265700932644,2023-08-11,2033-08-08,Monthly,14.99,False
4a0c9786-1790-4bd1-8285-39d2e4be1c8d,c0827493-4380-41d0-83f3-3a5776b490aa,2023-12-02,2023-11-22,annual,14.99,False
996a6bed-7565-4603-baad-1db56847d340,5d24a4f5-a924-4d9a-a46b-5ed8b8b77c0f,2023-05-21,2033-05-18,Monthly,0.0,False
035c6503-0291-4dfd-8a2d-403be97ed6f9,5d24a4f5-a924-4d9a-a46b-5ed8b8b77c0f,2023-05-07,2023-06-06,monthly,9.99,False
5625b3e4-e4ab-4e23-8749-05d6ab798ee6,70be2c29-d800-4226-8907-6a598c0e199c,2023-10-26,2023-11-25,annual,9999.99,True
c0505842-41db-4c0f-9bd9-927957afcfa1,c91df62b-ec7d-478c-8c48-fe4d4916dfad,2023-02-24,2023-03-26,annual ,9.99,True
1861a28e-3daf-4596-ae5f-3e292a5df827,1b26dc9b-a45c-4fb1-8f24-d17fb6663880,2023-12-26,2024-01-25,yr,9999.99,False
31c05596-29ad-4125-bd5c-0df7414486e6,d8eb1a7b-7d31-49b2-8959-2f197df1ef93,2023-05-27,2023-06-26,mo,9.99,True
